	chao1
797.48.CA.Forehead	415.615384615
797.56.CA.BackLeftPaw	921.495495495
797.71.CA.BackRightPaw	386.0
797.49.CA.BackRightPaw	689.43373494
797.52.CB.BackLeftPaw	1572.19626168
797.53.CB.Forehead	1364.67692308
797.71.CA.BackLeftPaw	599.8
797.30.CA.BackRightPaw	1184.27272727
797.06.CA.BackRightPaw	1174.95918367
797.71.CA.Forehead	631.075
797.56.HB.RightPalm	556.157894737
797.25.HB.Stool	476.162162162
797.56.HA.Stool	283.903225806
797.29.HA.Stool	391.0
797.26.HA.Stool	339.0
797.31.HB.Stool	386.625
797.18.CC.FrontLeftPaw	592.960784314
797.52.CA.Forehead	432.071428571
797.49.HA.RightPalm	452.022727273
797.45.HA.RightPalm	669.28
797.51.HA.RightPalm	850.953125
797.57.HA.Forehead	535.333333333
797.71.HC.RightPalm	450.375
797.49.CA.BackLeftPaw	617.953125
797.66.CA.BackLeftPaw	789.272727273
797.49.CA.Forehead	770.038961039
797.62.HD.RightPalm	377.583333333
797.49.HB.RightPalm	483.058823529
797.04.HA.RightPalm	503.970588235
797.59.HD.RightPalm	362.666666667
797.30.HA.RightPalm	1378.97887324
797.45.HA.LeftPalm	763.0
797.44.HA.LeftPalm	704.514705882
797.55.HA.LeftPalm	425.0
797.45.HB.LeftPalm	478.051724138
797.48.HC.LeftPalm	555.444444444
797.35.HB.LeftPalm	570.438596491
797.61.HB.RightPalm	307.022727273
797.56.HC.RightPalm	784.879120879
797.63.HC.LeftPalm	597.026315789
797.29.HB.LeftPalm	1148.96062992
797.63.HD.RightPalm	669.098591549
797.21.HA.LeftPalm	319.416666667
797.37.HA.RightPalm	250.0
797.29.HD.RightPalm	723.918032787
797.21.HC.RightPalm	515.833333333
797.56.HA.LeftPalm	621.617647059
797.22.HB.LeftPalm	721.470588235
797.55.HC.LeftPalm	1170.60810811
797.19.HA.RightPalm	673.456521739
797.12.HA.RightPalm	602.5
797.53.HA.RightPalm	901.784482759
797.63.HC.RightPalm	424.073170732
797.04.HB.RightPalm	642.202702703
797.38.HA.LeftPalm	243.12
797.61.HC.LeftPalm	694.652173913
797.19.HA.LeftPalm	615.3
797.35.HD.LeftPalm	383.24137931
797.69.HB.Forehead	319.037037037
797.63.HB.Forehead	485.404255319
797.29.HD.Forehead	422.5
797.27.HA.Forehead	283.790697674
797.63.HA.Forehead	590.428571429
797.71.HA.RightPalm	428.016949153
797.30.HA.Forehead	574.468085106
797.29.HB.Forehead	572.804878049
797.02.HC.Forehead	653.9375
797.51.HA.Forehead	232.555555556
797.68.HB.RightPalm	280.8
797.19.HA.Forehead	348.037037037
797.71.HB.Forehead	361.0
797.27.HB.Forehead	483.333333333
797.56.CA.FrontLeftPaw	1056.77586207
797.18.CA.BackLeftPaw	230.714285714
797.06.CA.FrontLeftPaw	733.148514851
797.06.CA.BackLeftPaw	812.61627907
797.19.CA.BackLeftPaw	848.097826087
797.03.CA.BackLeftPaw	522.230769231
797.31.CA.FrontLeftPaw	1141.7
797.06.CB.BackLeftPaw	748.901408451
797.50.CB.BackRightPaw	1161.87755102
797.373.LeftPalm	521.482758621
797.56.CA.Forehead	551.20754717
797.1075.Forehead	703.138888889
797.07.CB.Forehead	412.666666667
797.1106.LeftPalm	712.833333333
797.1249.RightPalm	685.452054795
797.1020.Tongue	423.571428571
797.1253.LeftPalm	481.416666667
797.07.CA.Forehead	470.135135135
797.27.CA.Forehead	441.976744186
797.1020.Forehead	526.661290323
797.49.CB.BackRightPaw	718.129032258
797.62.HE.RightPalm	656.279411765
797.42.HB.RightPalm	469.522727273
797.50.HA.LeftPalm	767.21
797.61.HD.LeftPalm	915.985915493
797.25.HB.Tongue	144.0
797.45.HA.Tongue	203.153846154
797.31.HB.Tongue	173.076923077
797.36.HB.Tongue	206.75
797.07.HB.Tongue	229.217391304
797.07.HA.Tongue	181.434782609
797.20.HA.Tongue	248.772727273
797.19.HA.Tongue	148.166666667
797.31.HA.Tongue	131.0
797.29.HD.Tongue	134.083333333
797.46.HA.Tongue	154.0625
797.17.HB.Tongue	166.8125
797.26.HB.Forehead	436.935483871
797.54.HB.Tongue	130.2
797.61.HB.Tongue	162.272727273
797.52.HA.Tongue	268.647058824
797.51.HB.Tongue	162.157894737
797.1249.LeftPalm	259.607142857
797.69.HB.Stool	361.090909091
797.1106.Tongue	134.272727273
797.42.HD.RightPalm	567.685185185
797.22.HA.LeftPalm	594.363636364
797.23.HA.RightPalm	549.153846154
797.63.HB.RightPalm	708.5625
797.44.HC.RightPalm	367.263157895
797.62.HB.RightPalm	711.344262295
797.42.HA.RightPalm	461.40625
797.42.HB.LeftPalm	595.49122807
797.54.HC.LeftPalm	973.442857143
797.06.HA.RightPalm	787.580645161
797.44.HC.LeftPalm	460.0
797.54.HD.RightPalm	719.168674699
797.64.HA.RightPalm	1040.11627907
797.24.HA.RightPalm	412.076923077
797.62.HC.RightPalm	599.272727273
797.56.HB.LeftPalm	808.08
797.37.HB.LeftPalm	319.483870968
797.35.HC.RightPalm	726.862745098
797.42.HD.LeftPalm	535.352941176
797.71.HC.LeftPalm	683.142857143
797.25.HB.RightPalm	474.357142857
797.27.HB.RightPalm	542.275
797.54.HB.RightPalm	706.4
797.48.HB.Tongue	246.535714286
797.23.HB.Forehead	264.0
797.38.HA.Forehead	221.303030303
797.22.HB.Tongue	176.625
797.71.HC.Forehead	283.857142857
797.24.HB.Forehead	211.5
797.64.HA.Forehead	370.902439024
797.41.HD.Tongue	326.541666667
797.37.HA.Tongue	241.866666667
797.23.HA.Forehead	226.032258065
797.02.HA.Tongue	252.291666667
797.41.HB.Forehead	416.448979592
797.54.HD.Forehead	800.516129032
797.42.HD.Tongue	201.5
797.48.HC.Tongue	215.75
797.49.HA.Tongue	331.375
797.55.HA.Forehead	431.5
797.23.HB.Tongue	160.5
797.38.HA.Tongue	195.555555556
797.35.HD.Forehead	308.75
797.68.HA.RightPalm	465.717948718
797.44.HC.Forehead	202.5
797.54.HA.Forehead	234.434782609
797.27.HB.Tongue	166.588235294
797.68.HA.Tongue	202.136363636
797.1402.RightPalm	497.5
797.1402.Forehead	440.06
797.1402.Tongue	243.666666667
797.1249.Tongue	460.105263158
797.1406.Tongue	171.0
797.46.HB.Forehead	436.103448276
797.48.CA.FrontLeftPaw	705.126760563
797.07.CA.BackRightPaw	798.098039216
797.44.HA.Stool	489.52
797.20.HB.LeftPalm	650.666666667
797.14.HB.LeftPalm	261.235294118
797.44.HD.RightPalm	387.06
797.45.HB.RightPalm	542.625
797.59.HB.Forehead	316.902439024
797.29.HC.Forehead	538.636363636
797.21.HB.Forehead	263.0
797.66.HA.LeftPalm	493.9
797.51.HB.RightPalm	575.948275862
797.43.HA.RightPalm	552.139534884
797.50.HB.LeftPalm	1105.34693878
797.68.HC.LeftPalm	310.571428571
797.49.HB.LeftPalm	627.078947368
797.41.HA.RightPalm	622.270833333
797.68.HA.LeftPalm	708.081967213
797.54.HB.LeftPalm	584.352941176
797.02.HD.RightPalm	395.0
797.20.HA.LeftPalm	354.396226415
797.31.HA.RightPalm	631.603448276
797.17.HA.LeftPalm	374.277777778
797.41.HA.LeftPalm	189.176470588
797.26.HB.LeftPalm	562.171428571
797.53.HA.Forehead	560.048387097
797.53.HB.Forehead	605.890625
797.55.HC.Forehead	530.8
797.71.HB.RightPalm	516.243243243
797.03.CA.FrontRightPaw	793.879120879
797.41.HB.Stool	739.909090909
797.19.CA.Forehead	686.545454545
797.17.CB.BackRightPaw	285.666666667
797.62.CA.Forehead	754.5
797.1053.Forehead	555.365853659
797.267.Forehead	132.0
797.31.CA.BackRightPaw	668.305084746
797.42.HA.LeftPalm	500.245283019
797.41.HB.RightPalm	726.967741935
797.49.HC.RightPalm	528.015151515
797.61.HA.LeftPalm	545.761904762
797.25.HB.LeftPalm	333.323529412
797.62.CA.FrontLeftPaw	986.068965517
797.555.LeftPalm	150.545454545
797.43.HC.LeftPalm	622.551724138
797.62.HB.Forehead	345.714285714
797.36.HA.LeftPalm	335.0
797.48.HB.RightPalm	609.6
797.62.HD.LeftPalm	634.767857143
797.17.HB.Stool	294.896551724
797.29.HD.Stool	296.071428571
797.17.HA.Stool	323.035714286
797.56.HB.Stool	336.90625
797.49.HB.Stool	307.029411765
797.44.HC.Stool	496.617647059
797.66.HA.Stool	350.277777778
797.05.HC.Stool	340.555555556
797.54.HC.Stool	452.733333333
797.21.HA.Stool	695.538461538
797.57.HA.Stool	484.319148936
797.48.HB.Stool	466.610169492
797.44.HB.RightPalm	550.318181818
797.03.HB.RightPalm	455.0
797.68.HB.LeftPalm	557.303030303
797.44.HA.RightPalm	469.75
797.45.HB.Forehead	235.545454545
797.12.HC.Forehead	306.125
797.68.HB.Forehead	432.954545455
797.12.HD.Stool	470.666666667
797.53.HB.RightPalm	518.763888889
797.46.HB.LeftPalm	440.3
797.57.HA.LeftPalm	855.307692308
797.48.HA.RightPalm	388.926829268
797.07.CA.BackLeftPaw	522.708333333
797.24.HA.LeftPalm	227.551724138
797.20.HB.RightPalm	778.013333333
797.371.Forehead	533.486486486
797.55.HB.Forehead	182.461538462
797.37.HB.Stool	463.578947368
797.44.HD.Stool	415.023809524
797.30.HA.Stool	388.188679245
797.46.HA.Stool	243.55
797.12.HA.Stool	230.833333333
797.49.HA.Stool	300.777777778
797.38.HA.Stool	514.352941176
797.59.HB.Stool	417.692307692
797.390.Stool	314.0
797.31.HB.RightPalm	477.4375
797.63.HB.LeftPalm	767.48
797.59.HC.RightPalm	407.721311475
797.29.HA.RightPalm	650.523809524
797.55.HA.RightPalm	541.162790698
797.02.HA.LeftPalm	304.166666667
797.30.HB.Forehead	672.0
797.69.HB.RightPalm	441.288461538
797.31.HB.Forehead	301.916666667
797.06.HA.Forehead	219.03125
797.18.CA.FrontLeftPaw	477.5625
797.62.CA.BackRightPaw	782.774193548
797.555.Forehead	673.015384615
797.06.HA.LeftPalm	388.0
797.42.HC.RightPalm	466.181818182
797.59.HA.RightPalm	438.25862069
797.53.HB.LeftPalm	424.75
797.56.HC.LeftPalm	983.75
797.39.HB.LeftPalm	590.294117647
797.22.HC.RightPalm	522.558441558
797.05.HA.Forehead	284.181818182
797.42.HD.Forehead	347.216216216
797.39.HB.Forehead	305.0
797.14.HA.Forehead	403.888888889
797.29.HC.Stool	374.444444444
797.52.HA.Stool	274.857142857
797.04.HB.Stool	179.333333333
797.50.HA.Stool	443.482758621
797.02.HA.Stool	175.0
797.20.HB.Stool	465.357142857
797.62.HE.Stool	451.590909091
797.30.HB.Stool	321.529411765
797.18.HA.Stool	461.516129032
797.40.HB.Stool	336.736842105
797.13.HB.Stool	113.25
797.02.HC.Stool	313.3125
797.42.HB.Stool	405.333333333
797.23.HB.Stool	364.15
797.21.HC.Stool	418.527777778
797.43.HB.Stool	293.25
797.53.HB.Stool	354.447368421
797.39.HA.Stool	387.208333333
797.41.HE.Stool	289.772727273
797.22.HB.Stool	280.03030303
797.18.HB.Stool	520.875
797.66.HB.Stool	333.0
797.27.HB.Stool	277.176470588
797.26.HC.Stool	209.222222222
797.06.HA.Stool	338.371428571
797.55.HA.Stool	223.5
797.41.HD.Stool	511.962264151
797.42.HD.Stool	413.0
797.61.HA.Stool	227.483870968
797.07.HC.Stool	211.230769231
797.59.HA.Stool	431.0
797.56.HC.Stool	271.75
797.06.HB.Stool	280.04
797.48.HC.Stool	396.454545455
797.51.HB.Stool	217.352941176
797.53.HA.Stool	254.0
797.29.HB.Stool	438.916666667
797.61.HC.Stool	330.555555556
797.1204.Stool	535.666666667
797.1406.Stool	599.888888889
797.71.HA.Stool	347.529411765
797.1282.Stool	205.4
797.1225.Stool	305.833333333
797.1249.Stool	510.555555556
797.371.Stool	509.555555556
797.1020.LeftPalm	339.026315789
797.1204.Forehead	355.065217391
797.1075.Stool	347.529411765
797.1023.LeftPalm	525.846153846
797.371.LeftPalm	765.193548387
797.1239.Stool	157.75
797.267.RightPalm	262.533333333
797.1023.Stool	383.8
797.1191.LeftPalm	581.333333333
797.1225.RightPalm	443.0
797.267.LeftPalm	376.56097561
797.1106.Forehead	499.166666667
797.1191.Stool	317.394736842
797.1286.Stool	429.4
797.66.HC.Stool	391.509090909
797.35.HD.RightPalm	491.571428571
797.54.HC.RightPalm	506.5
797.35.HA.RightPalm	378.595744681
797.31.HB.LeftPalm	606.638554217
797.35.HC.LeftPalm	652.557692308
797.26.HA.RightPalm	558.88372093
797.26.HC.RightPalm	396.555555556
797.39.HB.RightPalm	461.5
797.44.HB.LeftPalm	593.966666667
797.02.HB.RightPalm	457.328125
797.61.HA.RightPalm	475.05
797.13.HB.RightPalm	332.636363636
797.02.HD.LeftPalm	225.066666667
797.36.HB.RightPalm	370.387096774
797.04.HB.LeftPalm	274.607142857
797.40.HB.RightPalm	495.118644068
797.40.HA.LeftPalm	311.885714286
797.54.HA.RightPalm	512.928571429
797.40.HA.RightPalm	385.130434783
797.66.HA.RightPalm	459.385964912
797.22.HA.RightPalm	705.818181818
797.41.HD.LeftPalm	749.909090909
797.21.HA.RightPalm	524.0
797.13.HB.LeftPalm	224.84
797.35.HA.LeftPalm	175.571428571
797.62.HE.LeftPalm	639.0
797.36.HA.RightPalm	285.6
797.43.HB.LeftPalm	570.636363636
797.18.HB.LeftPalm	339.018181818
797.66.HC.LeftPalm	651.553846154
797.12.HB.RightPalm	439.575
797.39.HA.RightPalm	226.181818182
797.14.HB.RightPalm	631.55
797.05.HA.RightPalm	629.649350649
797.38.HA.RightPalm	257.617647059
797.21.HB.RightPalm	397.391304348
797.26.HA.LeftPalm	352.162790698
797.12.HB.LeftPalm	239.5
797.54.HA.LeftPalm	483.139534884
797.29.HC.RightPalm	364.0
797.06.HB.LeftPalm	506.483870968
797.56.HA.RightPalm	514.341463415
797.48.HA.LeftPalm	695.305084746
797.55.HB.RightPalm	508.6
797.12.HC.LeftPalm	343.125
797.04.HA.LeftPalm	423.553191489
797.37.HA.LeftPalm	281.666666667
797.62.HA.RightPalm	406.0
797.21.HB.LeftPalm	315.12
797.23.HB.RightPalm	744.161764706
797.07.HB.RightPalm	636.22
797.39.HA.LeftPalm	679.6
797.44.HB.Forehead	427.028571429
797.35.HC.Forehead	533.862068966
797.35.HB.Forehead	571.133333333
797.21.HC.Forehead	462.636363636
797.26.HA.Forehead	361.368421053
797.43.HA.Forehead	343.25
797.44.HA.Forehead	209.235294118
797.26.HC.Forehead	341.588235294
797.57.HB.Forehead	437.333333333
797.56.HB.Forehead	263.933333333
797.12.HB.Forehead	117.647058824
797.18.HB.Forehead	339.263157895
797.36.HA.Forehead	259.047619048
797.61.HC.Forehead	260.035714286
797.40.HA.Forehead	229.12
797.31.HA.Forehead	442.459459459
797.04.HA.Forehead	230.125
797.40.HB.Forehead	367.125
797.14.HB.Forehead	176.142857143
797.19.HB.Forehead	269.107142857
797.25.HA.Forehead	312.391304348
797.41.HE.Forehead	517.684210526
797.42.HC.Forehead	304.25
797.24.HA.Forehead	227.0
797.43.HB.Forehead	192.55
797.03.HA.Forehead	251.037037037
797.64.HB.Forehead	215.129032258
797.02.HD.Forehead	241.0
797.04.HB.Forehead	431.558823529
797.62.HD.Forehead	269.5
797.68.HA.Forehead	173.666666667
797.38.HB.Forehead	172.272727273
797.56.HC.Forehead	218.230769231
797.66.HC.Forehead	634.459016393
797.03.HB.Tongue	137.058823529
797.20.HB.Forehead	353.228571429
797.49.HC.Forehead	159.935483871
797.20.HA.Forehead	206.956521739
797.41.HA.Forehead	268.833333333
797.39.HA.Forehead	207.363636364
797.03.HB.Forehead	152.24
797.37.HA.Forehead	221.769230769
797.68.HC.RightPalm	330.142857143
797.48.HC.Forehead	219.181818182
797.69.HA.RightPalm	479.571428571
797.69.HA.Forehead	140.333333333
797.54.HD.Stool	238.333333333
797.62.HB.Stool	528.840909091
797.59.HC.Stool	195.3
797.45.HA.Stool	426.270833333
797.42.HC.Stool	420.882352941
797.48.HB.Forehead	300.135135135
797.26.CA.BackLeftPaw	585.088235294
797.23.HA.Stool	413.756756757
797.02.HD.Stool	223.2
797.25.HA.Stool	340.5625
797.54.HB.Stool	247.12
797.35.HC.Stool	377.871794872
797.59.HD.Stool	523.535714286
797.42.HA.Stool	350.037037037
797.07.HB.Stool	442.0
797.44.HB.Stool	217.0
797.63.HD.Stool	529.264150943
797.54.HC.Tongue	149.142857143
797.267.Stool	363.176470588
797.371.RightPalm	456.368421053
797.1191.Forehead	428.8
797.1191.RightPalm	507.20754717
797.1406.LeftPalm	586.840909091
797.1406.Forehead	361.549019608
797.1023.RightPalm	308.146341463
797.390.Forehead	435.571428571
797.555.RightPalm	901.625
797.1265.LeftPalm	620.786885246
797.1225.LeftPalm	431.565217391
797.1148.Forehead	360.090909091
797.1204.LeftPalm	562.4
797.1286.RightPalm	342.142857143
797.1239.Forehead	290.75
797.49.CA.Tongue	407.236842105
797.50.CB.Tongue	239.576923077
797.1225.Forehead	253.516129032
797.1023.Forehead	201.0
797.555.Tongue	204.285714286
797.1253.Stool	253.87804878
797.29.HB.RightPalm	700.5
797.51.HA.LeftPalm	834.923076923
797.18.HB.RightPalm	311.888888889
797.38.HB.LeftPalm	246.896551724
797.07.HC.RightPalm	520.881355932
797.62.HC.LeftPalm	474.5625
797.41.HB.LeftPalm	644.7
797.22.HA.Forehead	377.588235294
797.18.CC.BackLeftPaw	249.666666667
797.18.CB.Forehead	432.869565217
797.17.CB.Forehead	366.024390244
797.63.HA.RightPalm	403.043478261
797.36.HA.Tongue	182.125
797.04.HB.Tongue	235.617647059
797.22.HC.Forehead	267.588235294
797.38.HB.Tongue	180.7
797.39.HA.Tongue	214.230769231
797.39.HB.Tongue	168.0
797.05.HB.Tongue	321.6
797.21.HC.Tongue	178.25
797.26.HA.Tongue	181.0
797.18.HA.Tongue	200.4
797.22.HA.Tongue	297.0
797.44.HC.Tongue	181.571428571
797.27.HA.Tongue	206.272727273
797.46.HB.Tongue	201.0
797.02.HD.Tongue	173.0
797.26.HC.Tongue	199.789473684
797.24.HA.Tongue	256.454545455
797.04.HA.Tongue	363.066666667
797.14.HB.Tongue	156.090909091
797.43.HB.Tongue	263.071428571
797.44.HA.Tongue	161.375
797.05.HA.Tongue	232.1
797.63.HC.Forehead	369.219512195
797.40.HA.Tongue	284.0
797.14.HA.Tongue	144.066666667
797.37.HB.Tongue	195.647058824
797.40.HB.Tongue	313.083333333
797.24.HB.Tongue	194.5
797.42.HC.Tongue	193.076923077
797.44.HD.Tongue	179.0
797.41.HB.Tongue	203.066666667
797.45.HB.Tongue	161.882352941
797.35.HC.Tongue	159.5
797.25.HA.Tongue	185.235294118
797.43.HA.Tongue	242.807692308
797.22.HC.Tongue	182.647058824
797.06.HA.Tongue	249.6
797.41.HC.Tongue	243.291666667
797.02.HC.Tongue	169.055555556
797.17.HA.Tongue	179.75
797.13.HB.Tongue	169.571428571
797.03.HA.Tongue	168.866666667
797.06.HB.Tongue	167.0
797.68.HB.Tongue	291.217391304
797.69.HA.Tongue	187.555555556
797.57.HB.Tongue	169.9375
797.63.HB.Tongue	178.866666667
797.55.HB.Tongue	161.045454545
797.62.HD.Tongue	194.5
797.53.HB.Tongue	186.235294118
797.62.HB.Tongue	179.928571429
797.62.HC.Stool	183.0
797.55.HA.Tongue	154.25
797.69.HB.Tongue	180.0
797.66.HC.Tongue	152.136363636
797.51.HA.Tongue	304.0
797.390.Tongue	134.090909091
797.1318.Tongue	186.076923077
797.1023.Tongue	124.25
797.1204.Tongue	225.5
797.1239.Tongue	155.769230769
797.267.Tongue	172.055555556
797.373.Tongue	142.214285714
797.371.Tongue	146.166666667
797.59.HD.Forehead	191.0
797.52.HA.RightPalm	383.508474576
797.03.HA.RightPalm	493.127659574
797.56.CA.Tongue	199.166666667
797.68.HB.Stool	252.235294118
797.22.HC.LeftPalm	307.375
797.42.HB.Forehead	382.923076923
797.61.HB.Forehead	180.333333333
797.1053.LeftPalm	601.125
797.52.HB.Stool	268.428571429
797.41.HD.Forehead	228.2
797.46.HB.Stool	386.763157895
797.59.HA.Tongue	300.6
797.373.Forehead	396.609756098
797.17.CB.Tongue	259.107142857
797.62.CA.Tongue	121.333333333
797.07.CB.Tongue	184.363636364
797.19.CA.Tongue	170.3125
797.46.CA.Tongue	226.461538462
797.51.HA.Stool	265.166666667
797.22.HB.Forehead	318.260869565
797.61.HC.RightPalm	366.41025641
797.05.HB.RightPalm	399.4
797.07.HB.Forehead	158.272727273
797.42.HA.Forehead	169.105263158
797.64.CB.Stool	195.615384615
797.18.CB.Stool	63.3333333333
797.05.HA.Stool	270.0
797.62.CA.Stool	90.2307692308
797.18.HB.Tongue	166.4
797.02.HB.Forehead	208.333333333
797.44.HB.Tongue	198.75
797.63.HC.Stool	147.0625
797.555.Stool	110.5
797.1225.Tongue	117.083333333
797.1191.Tongue	133.142857143
797.71.HC.Stool	403.027027027
797.68.HC.Stool	77.125
797.18.CC.Tongue	255.652173913
797.1286.Tongue	128.5
797.1148.Tongue	325.6875
797.17.CA.Tongue	242.04
797.31.CA.Forehead	271.689655172
797.66.CA.Stool	130.0625
797.18.CA.Stool	155.75
797.19.CA.Stool	181.476190476
797.43.HC.Stool	228.954545455
797.07.HC.LeftPalm	220.588235294
797.1318.Stool	152.25
797.21.HA.Tongue	201.090909091
797.26.HB.RightPalm	259.473684211
797.29.HB.Tongue	200.0
797.26.HB.Tongue	190.555555556
797.12.HB.Tongue	98.0
797.07.HC.Forehead	219.576923077
797.41.HA.Tongue	127.153846154
797.29.HA.Tongue	170.315789474
797.35.HB.Tongue	183.473684211
797.35.HD.Tongue	139.666666667
797.12.HC.Tongue	198.037037037
797.21.HB.Tongue	51.6
797.61.HD.Forehead	353.176470588
797.66.HA.Forehead	162.344827586
797.43.HC.Tongue	208.25
797.48.HA.Tongue	146.875
797.07.HC.Tongue	152.2
797.17.HB.Forehead	222.84
797.02.HA.Forehead	289.84
797.59.HC.Forehead	141.055555556
797.12.HA.Forehead	323.516129032
797.13.HA.Tongue	144.0
797.42.HA.Tongue	122.25
797.12.HA.Tongue	173.052631579
